1.00,2015-11-19T10:06:27.907Z
0.00,2015-11-19T10:05:27.890Z
1.00,2015-11-19T10:04:38.924Z
1.00,2015-11-19T10:03:27.831Z
0.00,2015-11-19T10:01:49.679Z
1.00,2015-11-19T10:01:27.727Z
1.00,2015-11-19T09:59:49.688Z
0.00,2015-11-19T09:59:27.627Z
1.00,2015-11-19T09:57:49.492Z
1.00,2015-11-19T09:56:49.487Z
0.00,2015-11-19T09:56:27.506Z
1.00,2015-11-19T09:55:27.438Z
1.00,2015-11-19T09:53:49.362Z
1.00,2015-11-19T09:53:38.501Z
0.00,2015-11-19T09:51:49.294Z
1.00,2015-11-19T09:50:52.403Z
0.00,2015-11-19T09:50:27.347Z
1.00,2015-11-19T09:49:38.385Z
1.00,2015-11-19T09:48:27.305Z
0.00,2015-11-19T09:47:38.293Z
1.00,2015-11-19T09:45:49.518Z
1.00,2015-11-19T09:45:38.237Z
0.00,2015-11-19T09:44:38.159Z
1.00,2015-11-19T09:42:48.979Z
1.00,2015-11-19T09:42:26.958Z
1.00,2015-11-19T09:41:26.935Z
0.00,2015-11-19T09:39:48.821Z
3.00,2015-11-19T09:39:37.825Z
1.00,2015-11-19T09:38:26.736Z
2.00,2015-11-19T09:37:37.733Z
1.00,2015-11-19T09:36:37.690Z
2.00,2015-11-19T09:35:26.534Z
1.00,2015-11-19T09:33:48.466Z
2.00,2015-11-19T09:33:26.426Z
1.00,2015-11-19T09:32:26.367Z
3.00,2015-11-19T09:31:37.416Z
1.00,2015-11-19T09:29:48.246Z
2.00,2015-11-19T09:29:37.337Z
1.00,2015-11-19T09:28:37.298Z
2.00,2015-11-19T09:27:26.137Z
2.00,2015-11-19T09:26:26.138Z
1.00,2015-11-19T09:25:38.047Z
2.00,2015-11-19T09:23:48.071Z
2.00,2015-11-19T09:23:37.074Z
2.00,2015-11-19T09:22:25.918Z
1.00,2015-11-19T09:20:47.991Z
3.00,2015-11-19T09:19:47.814Z
1.00,2015-11-19T09:19:25.740Z
2.00,2015-11-19T09:18:36.748Z
1.00,2015-11-19T09:17:25.642Z
2.00,2015-11-19T09:15:47.561Z
1.00,2015-11-19T09:15:36.585Z
2.00,2015-11-19T09:14:25.439Z
1.00,2015-11-19T09:12:47.406Z
3.00,2015-11-19T09:11:47.329Z
1.00,2015-11-19T09:11:36.323Z
2.00,2015-11-19T09:09:47.229Z
1.00,2015-11-19T09:09:25.149Z
1.00,2015-11-19T09:07:47.129Z
1.00,2015-11-19T09:07:36.094Z
2.00,2015-11-19T09:06:36.076Z
2.00,2015-11-19T09:05:36.003Z
0.00,2015-11-19T09:04:35.939Z
2.00,2015-11-19T09:03:35.880Z
1.00,2015-11-19T09:01:46.854Z
2.00,2015-11-19T09:01:35.868Z
2.00,2015-11-19T08:59:46.839Z
1.00,2015-11-19T08:59:35.766Z
2.00,2015-11-19T08:58:35.731Z
2.00,2015-11-19T08:56:24.573Z
2.00,2015-11-19T08:55:35.597Z
1.00,2015-11-19T08:54:24.529Z
3.00,2015-11-19T08:53:35.522Z
2.00,2015-11-19T08:52:35.468Z
1.00,2015-11-19T08:51:35.440Z
3.00,2015-11-19T08:49:46.397Z
2.00,2015-11-19T08:49:35.340Z
2.00,2015-11-19T08:48:24.194Z
3.00,2015-11-19T08:47:35.582Z
3.00,2015-11-19T08:46:25.093Z
3.00,2015-11-19T08:44:46.157Z
4.00,2015-11-19T08:44:24.319Z
4.00,2015-11-19T08:43:35.137Z
4.00,2015-11-19T08:42:24.068Z
3.00,2015-11-19T08:41:36.172Z
1.00,2015-11-19T08:40:23.999Z
1.00,2015-11-19T08:38:46.064Z
0.00,2015-11-19T08:38:34.973Z
1.00,2015-11-19T08:36:47.982Z
1.00,2015-11-19T08:35:34.974Z
1.00,2015-11-19T08:34:23.729Z
1.00,2015-11-19T08:32:45.792Z
1.00,2015-11-19T08:32:23.604Z
0.00,2015-11-19T08:31:34.607Z
1.00,2015-11-19T08:29:45.597Z
1.00,2015-11-19T08:28:45.577Z
1.00,2015-11-19T08:28:34.501Z
1.00,2015-11-19T08:27:23.458Z
1.00,2015-11-19T08:26:34.483Z
0.00,2015-11-19T08:25:34.456Z
1.00,2015-11-19T08:24:23.377Z
1.00,2015-11-19T08:23:34.471Z
0.00,2015-11-19T08:21:45.388Z
1.00,2015-11-19T08:21:23.252Z
1.00,2015-11-19T08:20:23.179Z
1.00,2015-11-19T08:19:34.204Z
1.00,2015-11-19T08:17:45.270Z
1.00,2015-11-19T08:17:23.119Z
1.00,2015-11-19T08:16:23.031Z
1.00,2015-11-19T08:15:34.060Z
1.00,2015-11-19T08:14:34.388Z
1.00,2015-11-19T08:13:34.191Z
1.00,2015-11-19T08:12:22.999Z
1.00,2015-11-19T08:11:34.021Z
1.00,2015-11-19T08:10:37.003Z
1.00,2015-11-19T08:09:33.986Z
1.00,2015-11-19T08:08:33.978Z
1.00,2015-11-19T08:07:33.981Z
1.00,2015-11-19T08:06:33.961Z
1.00,2015-11-19T08:05:33.949Z
1.00,2015-11-19T08:03:45.068Z
1.00,2015-11-19T08:03:22.908Z
1.00,2015-11-19T08:02:22.891Z
1.00,2015-11-19T08:01:22.888Z
1.00,2015-11-19T08:00:22.875Z
1.00,2015-11-19T07:59:33.896Z
1.00,2015-11-19T07:58:22.860Z
1.00,2015-11-19T07:57:22.850Z
1.00,2015-11-19T07:56:33.864Z
1.00,2015-11-19T07:55:33.836Z
1.00,2015-11-19T07:54:24.826Z
1.00,2015-11-19T07:52:44.983Z
1.00,2015-11-19T07:52:33.824Z
1.00,2015-11-19T07:51:33.810Z
2.00,2015-11-19T07:50:33.761Z
2.00,2015-11-19T07:48:44.882Z
2.00,2015-11-19T07:47:44.862Z
1.00,2015-11-19T07:47:33.695Z
1.00,2015-11-19T07:45:44.739Z
1.00,2015-11-19T07:45:33.559Z
1.00,2015-11-19T07:44:22.537Z
1.00,2015-11-19T07:43:33.544Z
5.00,2015-11-19T07:42:22.437Z
6.00,2015-11-19T07:41:33.450Z
4.00,2015-11-19T07:40:33.455Z
9.00,2015-11-19T07:38:44.583Z
1.00,2015-11-19T07:38:22.294Z
4.00,2015-11-19T07:36:44.496Z
1.00,2015-11-19T07:36:33.286Z
1.00,2015-11-19T07:34:44.731Z
1.00,2015-11-19T07:34:22.156Z
0.00,2015-11-19T07:33:25.415Z
1.00,2015-11-19T07:32:22.063Z
1.00,2015-11-19T07:31:33.044Z
1.00,2015-11-19T07:30:22.027Z
0.00,2015-11-19T07:29:21.983Z
